depdom,ADEC,MDEC,JDEC,dc_j
01,2018,1,1,20
01,2018,1,2,26
01,2018,1,3,15
01,2018,1,4,17
01,2018,1,5,20
01,2018,1,6,20
01,2018,1,7,5
01,2018,1,8,12
01,2018,1,9,17
01,2018,1,10,16
01,2018,1,11,15
01,2018,1,12,13
01,2018,1,13,21
01,2018,1,14,15
01,2018,1,15,27
01,2018,1,16,22
01,2018,1,17,10
01,2018,1,18,13
01,2018,1,19,11
01,2018,1,20,13
01,2018,1,21,18
01,2018,1,22,12
01,2018,1,23,17
01,2018,1,24,18
01,2018,1,25,14
01,2018,1,26,15
01,2018,1,27,17
01,2018,1,28,20
01,2018,1,29,14
01,2018,1,30,17
01,2018,1,31,17
01,2018,2,1,10
01,2018,2,2,15
01,2018,2,3,8
01,2018,2,4,14
01,2018,2,5,17
01,2018,2,6,12
01,2018,2,7,16
01,2018,2,8,18
01,2018,2,9,14
01,2018,2,10,12
01,2018,2,11,25
01,2018,2,12,18
01,2018,2,13,7
01,2018,2,14,20
01,2018,2,15,15
01,2018,2,16,17
01,2018,2,17,13
01,2018,2,18,17
01,2018,2,19,18
01,2018,2,20,13
01,2018,2,21,14
01,2018,2,22,13
01,2018,2,23,13
01,2018,2,24,10
01,2018,2,25,15
01,2018,2,26,18
01,2018,2,27,17
01,2018,2,28,12
01,2018,3,1,14
01,2018,3,2,17
01,2018,3,3,21
01,2018,3,4,15
01,2018,3,5,20
01,2018,3,6,18
01,2018,3,7,21
01,2018,3,8,17
01,2018,3,9,17
01,2018,3,10,14
01,2018,3,11,9
01,2018,3,12,21
01,2018,3,13,20
01,2018,3,14,13
01,2018,3,15,15
01,2018,3,16,14
01,2018,3,17,15
01,2018,3,18,18
01,2018,3,19,19
01,2018,3,20,12
01,2018,3,21,19
01,2018,3,22,12
01,2018,3,23,19
01,2018,3,24,15
01,2018,3,25,12
01,2018,3,26,14
01,2018,3,27,17
01,2018,3,28,13
01,2018,3,29,21
01,2018,3,30,18
01,2018,3,31,19
01,2018,4,1,11
01,2018,4,2,19
01,2018,4,3,13
01,2018,4,4,12
01,2018,4,5,9
01,2018,4,6,19
01,2018,4,7,20
01,2018,4,8,13
01,2018,4,9,15
01,2018,4,10,17
01,2018,4,11,17
01,2018,4,12,11
01,2018,4,13,14
01,2018,4,14,14
01,2018,4,15,13
01,2018,4,16,14
01,2018,4,17,16
01,2018,4,18,12
01,2018,4,19,18
01,2018,4,20,14
01,2018,4,21,22
01,2018,4,22,13
01,2018,4,23,12
01,2018,4,24,16
01,2018,4,25,15
01,2018,4,26,6
01,2018,4,27,10
01,2018,4,28,12
01,2018,4,29,11
01,2018,4,30,15
01,2018,5,1,7
01,2018,5,2,9
01,2018,5,3,13
01,2018,5,4,15
01,2018,5,5,11
01,2018,5,6,15
01,2018,5,7,13
01,2018,5,8,11
01,2018,5,9,13
01,2018,5,10,9
01,2018,5,11,13
01,2018,5,12,11
01,2018,5,13,12
01,2018,5,14,11
01,2018,5,15,19
01,2018,5,16,12
01,2018,5,17,14
01,2018,5,18,19
01,2018,5,19,7
01,2018,5,20,11
01,2018,5,21,13
01,2018,5,22,11
01,2018,5,23,14
01,2018,5,24,16
01,2018,5,25,7
01,2018,5,26,17
01,2018,5,27,13
01,2018,5,28,12
01,2018,5,29,16
01,2018,5,30,10
01,2018,5,31,13
01,2018,6,1,9
01,2018,6,2,15
01,2018,6,3,9
01,2018,6,4,10
01,2018,6,5,8
01,2018,6,6,10
01,2018,6,7,9
01,2018,6,8,11
01,2018,6,9,13
01,2018,6,10,11
01,2018,6,11,11
01,2018,6,12,13
01,2018,6,13,18
01,2018,6,14,11
01,2018,6,15,13
01,2018,6,16,12
01,2018,6,17,14
01,2018,6,18,16
01,2018,6,19,14
01,2018,6,20,11
01,2018,6,21,16
01,2018,6,22,11
01,2018,6,23,15
01,2018,6,24,9
01,2018,6,25,12
01,2018,6,26,9
01,2018,6,27,16
01,2018,6,28,19
01,2018,6,29,9
01,2018,6,30,10
01,2018,7,1,9
01,2018,7,2,13
01,2018,7,3,6
01,2018,7,4,10
01,2018,7,5,9
01,2018,7,6,10
01,2018,7,7,10
01,2018,7,8,14
01,2018,7,9,13
01,2018,7,10,13
01,2018,7,11,10
01,2018,7,12,13
01,2018,7,13,11
01,2018,7,14,12
01,2018,7,15,19
01,2018,7,16,11
01,2018,7,17,12
01,2018,7,18,18
01,2018,7,19,12
01,2018,7,20,13
01,2018,7,21,13
01,2018,7,22,11
01,2018,7,23,9
01,2018,7,24,12
01,2018,7,25,15
01,2018,7,26,13
01,2018,7,27,13
01,2018,7,28,11
01,2018,7,29,17
01,2018,7,30,8
01,2018,7,31,20
01,2018,8,1,15
01,2018,8,2,14
01,2018,8,3,11
01,2018,8,4,11
01,2018,8,5,12
01,2018,8,6,10
01,2018,8,7,14
01,2018,8,8,15
01,2018,8,9,13
01,2018,8,10,9
01,2018,8,11,12
01,2018,8,12,20
01,2018,8,13,15
01,2018,8,14,14
01,2018,8,15,13
01,2018,8,16,12
01,2018,8,17,9
01,2018,8,18,7
01,2018,8,19,9
01,2018,8,20,16
01,2018,8,21,15
01,2018,8,22,12
01,2018,8,23,13
01,2018,8,24,9
01,2018,8,25,17
01,2018,8,26,7
01,2018,8,27,10
01,2018,8,28,11
01,2018,8,29,24
01,2018,8,30,8
01,2018,8,31,10
01,2018,9,1,22
01,2018,9,2,10
01,2018,9,3,11
01,2018,9,4,13
01,2018,9,5,19
01,2018,9,6,15
01,2018,9,7,13
01,2018,9,8,15
01,2018,9,9,14
01,2018,9,10,15
01,2018,9,11,11
01,2018,9,12,17
01,2018,9,13,14
01,2018,9,14,12
01,2018,9,15,8
01,2018,9,16,9
01,2018,9,17,14
01,2018,9,18,17
01,2018,9,19,11
01,2018,9,20,23
01,2018,9,21,22
01,2018,9,22,14
01,2018,9,23,16
01,2018,9,24,11
01,2018,9,25,11
01,2018,9,26,11
01,2018,9,27,15
01,2018,9,28,15
01,2018,9,29,14
01,2018,9,30,17
01,2018,10,1,9
01,2018,10,2,9
01,2018,10,3,11
01,2018,10,4,11
01,2018,10,5,16
01,2018,10,6,13
01,2018,10,7,9
01,2018,10,8,6
01,2018,10,9,16
01,2018,10,10,12
01,2018,10,11,12
01,2018,10,12,10
01,2018,10,13,17
01,2018,10,14,15
01,2018,10,15,11
01,2018,10,16,18
01,2018,10,17,19
01,2018,10,18,8
01,2018,10,19,7
01,2018,10,20,14
01,2018,10,21,10
01,2018,10,22,10
01,2018,10,23,10
01,2018,10,24,14
01,2018,10,25,20
01,2018,10,26,10
01,2018,10,27,15
01,2018,10,28,16
01,2018,10,29,19
01,2018,10,30,11
01,2018,10,31,14
01,2018,11,1,21
